Chapter,Location,Context esp,Context english,Latitude,Longitude,Number of Characters,Character 1,Character 2,Character 3,Exactness,Exact,Reality,Page,Section,Category,Structure Type,Date in novel
1,Casa de Montserrat,"Donde vive Montserrat, la que encarga la investigación.  La novela dice que vive en el tercer piso; en realidad el edificio termina con el segundo piso.",,41.732309,1.823585,,,,,1,Yes,Real,15,,Víctima,Home,2010-11-12
2,Casa de Elena Martínez,"Vive aquí, en el número 30, en el barrio de Sarrià.",,41.398626,2.123273,,,,,1,Yes,Real,23,,Investigador,Home,2010-11-12
2,Oficina de Solivellas,"Lugar donde trabaja Solivellas. Elena camina desde su casa hasta aquí con su perro, bajando por la Vía Augusta",,41.395732,2.148967,,,,,1,Yes,Real,"24, 28",,Víctima,Business,2010-11-12
2,Trayecto de Elena,Elena y su perro encuentran a otro perro/amo mientras ella va caminando al trabajo de Solivellas,,41.398231,2.141741,,,,,1,Yes,Real,26,,Investigador,Exterior,2010-11-12
2,Tívoli deli,Elena compra la cena aquí después de visitar el trabajo de Solivellas,,41.398654,2.143498,,,,,1,Yes,Real,29,,Investigador,Bar Restaurant,2010-11-12
3,Casa de Elena Martínez,Vuelve a casa con la cena y con su amigo Jaume,,41.398626,2.123273,,,,,1,Yes,Real,31,,Investigador,Home,2010-11-12
3,Carrer de Calvet,"Elena y Jaume bajan esta calle en moto rumbo al bar ""el Sancho""",,41.395674,2.142306,,,,,1,Yes,Real,35,,Investigador,Exterior,2010-11-12
3,Bar el Sancho,Elena y Jaume preguntan al camarero si conoce al Solivellas. El bar queda al otro lado de la calle de su oficina; en realidad no existe,,41.395625,2.148813,,,,,2,Yes,Fictional,36,,Investigador,Bar Restaurant,2010-11-12
4,Dry Martini Bar,Elena y Jaume terminan la noche en este bar,,41.392655,2.154225,,,,,1,Yes,Real,39,,Investigador,Bar Restaurant,2010-11-12
4,Parking privado,Elena alquila un parking cerca de su piso,,41.40051,2.122792,,,,,1,Yes,Real,41,,Investigador,Transport,2010-11-13
