Chapter,Location,Context esp,Context eng,Latitude,Longitude,Number of Characters,Character 1,Character 2,Character 3,Exactness,Exact,Reality,Page,Section,Category,Structure type,Date in novel
1,Piso de Elena: Piso alto en la zona norte de Madrid,"Ubicación no exacta, hay varias opciones alrededor de La Prosperidad",,40.444539,-3.668518,2,Elena,Enrique,,5,,Fictional,15,1,Victim,Home,
2,"Cafetería, dirección calle Francisco Silvela",,,40.442887,-3.675816,1,Elena,,,5,,Fictional,29,1,Victim,Bar Restaurant,
2,Calle de María de Molina,Elena camina por esta calle dirección a la Castellana cuando empieza a sentirse mal,,40.437936,-3.685861,1,Elena,,,5,,Real,30,1,Victim,Exterior,
2,Guardería en la calle María de Moliner,Elena entra aquí para usar el baño,,40.438012,-3.688277,1,Elena,,,5,,Fictional,31,1,Victim,Business,
3,Barrio infantil de Elena / Piso de la madre de Elena,,,,,3,Elena,,,5,,Fictional,40,1,Victim,Home,
4,Oficina de correos,Elena recoge los informes del detective,,40.444247,-3.675983,1,Elena,,,1,,Real,65,2,Victim,Municipal,
4,Cafetería en calle Clara del Rey,Elena lee el informe aquí. Ubicación no exacta,,40.444603,-3.66847,1,Elena,,,5,,Fictional,65,2,Victim,Bar Restaurant,
4,Oficina de Enrique (informe),El detective menciona la ubicación de la oficina de Enrique. Calle Julio Casares no existe.,,40.440538,-3.708781,2,Enrique,Detective,,5,,Fictional,66,2,Investigator,Business,
4,Aeropuerto de Barajas,Informe Detective: Enrique sale de Madrid,,40.465999,-3.569875,2,Enrique,Detective,,1,,Real,66,2,Investigator,Transport,
4,Alicante,Informe Detective: Enrique pasa el fin de semana aquí con su amante,,38.342339,-0.490109,3,Enrique,Detective,,5,,Fictional,66,2,Investigator,Hotel,
4,"Piso de Mercedes, hija de Elena, en calle Corazón de María","Elena camina aquí después de leer el informe, pero no entra. Ubicación no exacta",,40.445844,-3.666749,1,Elena,,,5,,Fictional,68,2,Victim,Exterior,
4,Calle López de Hoyos,"Elena camina aquí después de pasar enfrente de la casa de su hija (sin llamar), toma un taxi para volver a casa",,40.44715,-3.669631,1,Elena,,,3,,Real,69,2,Victim,Exterior,
SP,Calle Joaquín Costa,Informe Detective: Elena camina aquí para llegar a la Castellana,,40.44464,-3.684786,2,Elena,Detective,,3,,Real,111,3,Investigator,Exterior,
SP,La castellana,Informe Detective: Elena camina por aquí para llegar a El Corte Inglés,,40.446612,-3.691078,2,Elena,Detective,,3,,Real,111,3,Investigator,Exterior,
SP,El Corte Inglés complejo AZCA,Informe Detective: Elena prueba ropa aquí,,40.446887,-3.693979,2,Elena,Detective,,1,,Real,111,3,Investigator,Business,
SP,Bruselas,Elena va con Enrique en un viaje de negocios,,50.848155,4.349352,2,Elena,Enrique,,5,,Real,149,4,Victim,Hotel,
SP,Calle Velázquez,Le atracan a Elena cerca de aquí mientras está de compras,,40.437411,-3.683067,2,Elena,Detective,,5,,Real,181,4,Victim,Exterior,
SP,El nuevo piso de Elena,"Cerca de la plaza de Cataluña, según el informe del detective",,40.448678,-3.678168,1,Elena,,,5,,Fictional,181,4,Victim,Home,
