Chapter,Location,Context Spanish,Context English,Latitude,Longitude,Number of Characters,Character 1,Character 2,Character 3,Character 4,Character 5,Exactness,Exact,Reality,Page,Category,Structure Type
1,Hotelucho de Gran Vía,Primer hotel donde queda Torca y donde trabaja Nerea,"Hotel where Torca stays in Madrid and where he meets Nerea, who works there",40.422082,-3.709056,1,Torca,,,,,Low,No,Fictional,17,Investigador,Home
1,peluquería centenaria,Peluqueria donde pasa tiempo cada viernes,Barber shop where Torca spends time every Friday,40.417926,-3.704409,1,Torca,,,,,Low,no,Fictional,17,Investigador,Business
1,Parque del Retiro,Parque donde Torca corre por las mañanas,Park where Torca runs,40.415188,-3.684458,1,Torca,,,,,High,Yes,Real,18,Investigador,Monument
1,Torre de Cristal,Oficina de Marsé,Marsé's office,40.478264,-3.686881,2,Torca,Marsé,,,,High,Yes,Mix,21,Víctima,Monument
1,Lateral Castellana 42,Bar donde Marsé y Torca hablan,Bar where Marsé and Torca meet,40.433448,-3.68765,2,Torca,Marsé,,,,High,Yes,Real,24,Víctima,Bar Restaurant
1,Estadio de Santiago Bernabéu,Lugar donde Marsé le ofrece trabajo a Torca,Place where Marsé proposes that Torca work with him,40.453089,-3.688314,2,Torca,Marsé,,,,High,Yes,Real,24,Víctima,Monument
1,Chalé de Marsé,El domicilio de Marsé en El Viso,Marsé's home in El Viso,40.448113,-3.686226,1,Marsé,,,,,Low,No,Fictional,31,Víctima,Home
2,Piso de Ramón Ribeyro,Juan Torca empieza a investigar a Ribeyro,Where Torca begins his investigation of Ribeyro,40.596625,-3.703556,2,Torca,Ribeyro,,,,Medium,No,Mix,38,Sospechoso,Home
2,Un restaurante en Comlenar Viejo,Juan Torca come aquí mientras duplica las llaves,Torca eats here while copying the keys,40.659785,-3.753416,1,Torca,,,,,Medium,No,Mix,43,Investigador,Bar Restaurant
2,Casa Lucio en Cava Baja,Marsé y Torca se reunen,Marsé and Torca meet,40.41217,-3.709684,2,Torca,Marsé,,,,High,Yes,Real,50,Víctima,Bar Restaurant
2,Torre de Cristal,Torca llega a la torre de cristal para pasar tiempo con Marse,Torca arrives here to spend time with Marsé,40.478337,-3.686934,2,Torca,Marsé,,,,High,Yes,Real,51,Víctima,Monument
2,Hotelucho de Gran Vía,Marsé y Torca caminan al hotel de Torca,Marsé and Torca walk to Torca's hotel,40.422082,-3.709056,2,Torca,Marsé,,,,Low,No,Fictional,53,Víctima,Home
2,Estadio de Santiago Bernabéu,Torca lleva Nerea al partido con las entradas de Marsé,Torca takes Nerea to the game with Marsé's tickets,40.453111,-3.688323,2,Torca,Nerea,,,,High,Yes,Real,57,Investigador,Monument
3,Piso de Nerea en Lagasca,Torca y Nerea va a la casa de Nerea,Torca and Nerea go to Nerea's apartment,40.429169,-3.684878,2,Torca,Nerea,,,,Low,No,Fictional,60,Investigador,Home
3,Un restaurante en Comlenar Viejo,Torca come en el mismo restaurante que cuando esperaba la duplicación de las llaves,Torca eats at the same restaurant as when he copied Ribeyro's keys,40.659785,-3.753416,1,Torca,,,,,Medium,No,Mix,72,Investigador,Bar Restaurant
3,Piso de Ramón Ribeyro,Torca accede al teléfono de Ribeyro y copia dos números,Torca gains access to Ribeyro's phone and copies down two numbers,40.596625,-3.703556,2,Torca,Ribeyro,,,,Medium,No,Mix,72,Sospechoso,Home
3,Asador Donostiarra,Restaurante donde Torca y Marsé iban a cenar el día que murió Marsé,Restaurant where Torca and Marsé were to have dinner the day Marsé dies,40.461735,-3.695737,2,Torca,Marsé,,,,High,Yes,Real,79,Víctima,Bar Restaurant
4,Cementerio de la Almudena,El cementerio donde Marsé está enterrado,"Marsé is buried here, funeral held here",40.425961,-3.645072,1,Torca,,,,,High,Yes,Real,83,Víctima,Municipal
4,Hospital de la Paz,El hospital donde Marsé está antes de su muerte,Marsé taken here before his death,40.480811,-3.687862,3,Torca,Laforet,Adriana,,,High,Yes,Real,84,Víctima,Municipal
